gen	base	freq
0	0	1.000000
0	1	0.000000
1	0	1.000000
1	1	0.000000
2	0	0.999980
2	1	0.000020
3	0	0.999950
3	1	0.000050
4	0	0.999960
4	1	0.000040
5	0	0.999930
5	1	0.000070
6	0	0.999920
6	1	0.000080
7	0	0.999930
7	1	0.000070
8	0	0.999920
8	1	0.000080
9	0	0.999840
9	1	0.000160
10	0	0.999670
10	1	0.000330
11	0	0.999490
11	1	0.000510
12	0	0.999210
12	1	0.000790
13	0	0.998670
13	1	0.001330
14	0	0.997980
14	1	0.002020
15	0	0.996981
15	1	0.003019
