sim_id	distance	allele0	allele1
SimX	0.00314   	1	1.35
SimX	0.00314   	1	1.65
SimX	0.00316   	1	1.4
SimX	0.00316   	1	1.4
SimX	0.00316   	1	1.45
SimX	0.00318   	1	1.4
SimX	0.00318   	1	1.35
SimX	0.00318   	1	1.4
SimX	0.00318   	1	1.5
SimX	0.00319   	1	1.5
SimX	0.00321   	1	1.45
SimX	0.00322   	1	1.35
SimX	0.00322   	1	1.35
SimX	0.00322   	1	1.35
SimX	0.00322   	1	1.45
SimX	0.00322   	1	1.4
SimX	0.00322   	1	1.4
SimX	0.00322   	1	1.35
SimX	0.00322   	1	1.55
SimX	0.00324   	1	1.4
SimX	0.00324   	1	1.5
SimX	0.00324   	1	1.4
SimX	0.00324   	1	1.7
SimX	0.00326   	1	1.35
SimX	0.00326   	1	1.45
SimX	0.00326   	1	1.5
SimX	0.00326   	1	1.45
SimX	0.00326   	1	1.6
SimX	0.00328   	1	1.35
SimX	0.00328   	1	1.45
SimX	0.00328   	1	1.4
SimX	0.0033    	1	1.3
SimX	0.0033    	1	1.45
SimX	0.0033    	1	1.7
SimX	0.0033    	1	1.45
SimX	0.0033    	1	1.4
SimX	0.0033    	1	1.4
SimX	0.0033    	1	1.4
SimX	0.0033    	1	1.45
SimX	0.0033    	1	1.45
SimX	0.00332   	1	1.5
SimX	0.00332   	1	1.4
SimX	0.00332   	1	1.35
SimX	0.00332   	1	1.4
SimX	0.00334   	1	1.4
SimX	0.00334   	1	1.4
SimX	0.00336   	1	1.35
SimX	0.00336   	1	1.4
SimX	0.00336   	1	1.4
SimX	0.00338   	1	1.3
SimX	0.00338   	1	1.4
SimX	0.00338   	1	1.45
SimX	0.00338   	1	1.4
SimX	0.00338   	1	1.6
SimX	0.00338   	1	1.45
SimX	0.00338   	1	1.4
SimX	0.00339   	1	1.45
SimX	0.0034    	1	1.35
SimX	0.0034    	1	1.35
SimX	0.00342   	1	1.45
SimX	0.00342   	1	1.45
SimX	0.00342   	1	1.45
SimX	0.00342   	1	1.7
SimX	0.00344   	1	1.35
SimX	0.00344   	1	1.35
SimX	0.00346   	1	1.45
SimX	0.00346   	1	1.4
SimX	0.00346   	1	1.5
SimX	0.00346   	1	1.45
SimX	0.00346   	1	1.8
SimX	0.00348   	1	1.4
SimX	0.00348   	1	1.75
SimX	0.00348   	1	1.45
SimX	0.0035    	1	1.4
SimX	0.0035    	1	1.45
SimX	0.0035    	1	1.35
SimX	0.0035    	1	1.4
SimX	0.00351   	1	1.5
SimX	0.00352   	1	1.35
SimX	0.00352   	1	1.4
SimX	0.00352   	1	1.35
SimX	0.00352   	1	1.35
SimX	0.00352   	1	1.4
SimX	0.00352   	1	1.35
SimX	0.00352   	1	1.45
SimX	0.00354   	1	1.3
SimX	0.00354   	1	1.5
SimX	0.00356   	1	1.45
SimX	0.00356   	1	1.3
SimX	0.00356   	1	1.45
SimX	0.00356   	1	1.35
SimX	0.00358   	1	1.35
SimX	0.00358   	1	1.4
SimX	0.00358   	1	1.45
SimX	0.00358   	1	1.55
SimX	0.00358   	1	1.7
SimX	0.0036    	1	1.35
SimX	0.0036    	1	1.3
SimX	0.0036    	1	1.45
SimX	0.0036    	1	1.55
SimX	0.0036    	1	1.4
SimX	0.00362   	1	1.4
SimX	0.00362   	1	1.4
SimX	0.00362   	1	1.4
SimX	0.00364   	1	1.35
SimX	0.00364   	1	1.2
SimX	0.00364   	1	1.4
SimX	0.00364   	1	1.3
SimX	0.00364   	1	1.45
SimX	0.00366   	1	1.4
SimX	0.00366   	1	1.35
SimX	0.00366   	1	1.4
SimX	0.00366   	1	1.35
SimX	0.00366   	1	1.7
SimX	0.00366   	1	1.45
SimX	0.00368   	1	1.35
SimX	0.00368   	1	1.45
SimX	0.00368   	1	1.4
SimX	0.0037    	1	1.45
SimX	0.0037    	1	1.5
SimX	0.0037    	1	1.35
SimX	0.0037    	1	1.6
SimX	0.00372   	1	1.4
SimX	0.00372   	1	1.4
SimX	0.00372   	1	1.5
SimX	0.00372   	1	1.4
SimX	0.00372   	1	1.45
SimX	0.00372   	1	1.3
SimX	0.00372   	1	1.75
SimX	0.00374   	1	1.35
SimX	0.00374   	1	1.35
SimX	0.00374   	1	1.35
SimX	0.00374   	1	1.45
SimX	0.00376   	1	1.4
SimX	0.00376   	1	1.45
SimX	0.00376   	1	1.35
SimX	0.00376   	1	1.45
SimX	0.00376   	1	1.4
SimX	0.00378   	1	1.6
SimX	0.00378   	1	1.45
SimX	0.00378   	1	1.4
SimX	0.00378   	1	1.5
SimX	0.00378   	1	1.4
SimX	0.00378   	1	1.6
SimX	0.00378   	1	1.4
SimX	0.00379   	1	1.6
SimX	0.0038    	1	1.45
SimX	0.0038    	1	1.35
SimX	0.0038    	1	1.35
SimX	0.0038    	1	1.35
SimX	0.00382   	1	1.35
SimX	0.00382   	1	1.4
SimX	0.00382   	1	1.35
SimX	0.00382   	1	1.4
SimX	0.00382   	1	1.4
SimX	0.00382   	1	1.45
SimX	0.00384   	1	1.35
SimX	0.00386   	1	1.3
SimX	0.00386   	1	1.4
SimX	0.00386   	1	1.35
SimX	0.00386   	1	1.4
SimX	0.00386   	1	1.5
SimX	0.00386   	1	1.4
SimX	0.00388   	1	1.4
SimX	0.00388   	1	1.35
SimX	0.00388   	1	1.65
SimX	0.00388   	1	1.4
