position	distance	allele0	allele1
N/A	0	1	0.536616
N/A	0	1	0
N/A	0	1	0.990849
N/A	0	1	0.79196
N/A	0	1	0.970746
N/A	0	1	1.15182
N/A	0	1	1.09926
N/A	0	1	0.33604
N/A	0	1	0.721485
N/A	0	1	0.93577
N/A	0	1	1.09166
N/A	0	1	0.775372
N/A	0	1	0.665906
N/A	0	1	1.01177
N/A	0	1	0
N/A	0	1	1.06152
N/A	0	1	0.885553
N/A	0	1	0.752805
N/A	0	1	0.201743
N/A	0	1	0.474173
N/A	0	1	0.899716
N/A	0	1	0.968893
N/A	0	1	0.36951
N/A	0	1	0.798621
N/A	0	1	0.118295
N/A	0	1	0.0211358
N/A	0	1	0.787999
N/A	0	1	0.916953
N/A	0	1	0.35262
N/A	0	1	0.855434
N/A	0	1	0.979614
N/A	0	1	0
N/A	0	1	0.649459
N/A	0	1	0.986458
N/A	0	1	0.403931
N/A	0	1	0.247399
N/A	0	1	0.314241
N/A	0	1	1.2449
N/A	0	1	0.9447
N/A	0	1	0.589381
N/A	0	1	0.560439
N/A	0	1	0
N/A	0	1	0
N/A	0	1	0
N/A	0	1	0.889343
N/A	0	1	0.275968
N/A	0	1	0.933046
N/A	0	1	0.850312
N/A	0	1	0.153485
N/A	0	1	0.766976
N/A	0	1	1.0137
N/A	0	1	0.698343
N/A	0	1	0.904862
N/A	0	1	0.889325
N/A	0	1	1.00887
N/A	0	1	0.572439
N/A	0	1	0.726968
N/A	0	1	0.909894
N/A	0	1	1.05316
N/A	0	1	0.465822
N/A	0	1	0.960118
N/A	0	1	0.397467
N/A	0	1	0.531448
N/A	0	1	0
N/A	0	1	1.20285
N/A	0	1	0.805978
N/A	0	1	0
N/A	0	1	0.812119
N/A	0	1	1.06085
N/A	0	1	1.00744
N/A	0	1	0.936499
N/A	0	1	1.00429
N/A	0	1	0.0157921
N/A	0	1	0.738428
N/A	0	1	0.925755
N/A	0	1	0.70835
N/A	0	1	0.965756
N/A	0	1	0.969353
N/A	0	1	0.440563
N/A	0	1	0.865089
N/A	0	1	0.65737
N/A	0	1	0
N/A	0	1	0.672815
N/A	0	1	0
N/A	0	1	0.462643
N/A	0	1	0.695785
N/A	0	1	0.294303
N/A	0	1	0.469897
N/A	0	1	1.03663
N/A	0	1	0.790188
N/A	0	1	1.03139
N/A	0	1	0.919054
N/A	0	1	0.280565
N/A	0	1	1.03656
N/A	0	1	0.423811
N/A	0	1	0.827304
N/A	0	1	0.964547
N/A	0	1	0.753848
N/A	0	1	1.0294
N/A	0	1	0.664262
N/A	0	1	0.604728
N/A	0	1	0.642686
N/A	0	1	0.718059
N/A	0	1	0
N/A	0	1	0.00222697
N/A	0	1	0.348613
N/A	0	1	0.947131
N/A	0	1	0.546678
N/A	0	1	0.90491
N/A	0	1	1.01962
N/A	0	1	1.09962
N/A	0	1	0.833054
N/A	0	1	0.64755
N/A	0	1	1.18581
N/A	0	1	0.876137
N/A	0	1	0.962942
N/A	0	1	0
N/A	0	1	0.605103
N/A	0	1	0.924771
N/A	0	1	0.630499
N/A	0	1	0.570189
N/A	0	1	0.962286
N/A	0	1	0.723792
N/A	0	1	1.00772
N/A	0	1	0
N/A	0	1	0.453062
N/A	0	1	0
N/A	0	1	1.05808
N/A	0	1	0.308247
N/A	0	1	0.360489
N/A	0	1	0.703138
N/A	0	1	0.810285
N/A	0	1	0.0436333
N/A	0	1	0.982936
N/A	0	1	0.685319
N/A	0	1	0.61511
N/A	0	1	1.03576
N/A	0	1	0.397234
N/A	0	1	0.462254
N/A	0	1	0.746144
N/A	0	1	0.579302
N/A	0	1	1.27211
N/A	0	1	0.681079
N/A	0	1	0.317056
N/A	0	1	0.806813
N/A	0	1	0.774261
N/A	0	1	0.72924
N/A	0	1	1.24293
N/A	0	1	0.994216
N/A	0	1	0.380185
N/A	0	1	0.91747
N/A	0	1	0.345841
N/A	0	1	0.827318
N/A	0	1	0.793856
N/A	0	1	1.228
N/A	0	1	1.04481
N/A	0	1	0.0208427
N/A	0	1	0.193059
N/A	0	1	0.947904
N/A	0	1	0.904042
N/A	0	1	1.05408
N/A	0	1	1.02615
N/A	0	1	1.02882
N/A	0	1	1.14937
N/A	0	1	0.819517
N/A	0	1	1.01215
N/A	0	1	0.788881
N/A	0	1	0.104629
N/A	0	1	1.11915
N/A	0	1	0.892391
N/A	0	1	1.06666
N/A	0	1	0.880359
N/A	0	1	0.297345
N/A	0	1	0.104411
N/A	0	1	0.585146
N/A	0	1	0
N/A	0	1	0.861517
N/A	0	1	0.840029
N/A	0	1	0.794115
N/A	0	1	0.377557
N/A	0	1	0.421855
N/A	0	1	0.797188
N/A	0	1	0.69807
N/A	0	1	0.319911
N/A	0	1	0.397957
N/A	0	1	0.948863
N/A	0	1	0.666316
N/A	0	1	0.99518
N/A	0	1	0.87185
N/A	0	1	0.357223
N/A	0	1	0
N/A	0	1	0.849147
N/A	0	1	0.471848
N/A	0	1	0.810314
N/A	0	1	0
N/A	0	1	0.848393
N/A	0	1	0.975629
N/A	0	1	0.812391
N/A	0	1	1.02658
N/A	0	1	1.01067
N/A	0	1	1.03077
N/A	0	1	0.20551
N/A	0	1	0.838865
N/A	0	1	0.502008
N/A	0	1	0.7246
N/A	0	1	0.999307
N/A	0	1	0.373372
N/A	0	1	0.0881034
N/A	0	1	0.687021
N/A	0	1	0.606254
N/A	0	1	0.776934
N/A	0	1	0.510153
N/A	0	1	0.58456
N/A	0	1	0.561176
N/A	0	1	1.03183
N/A	0	1	0.972755
N/A	0	1	1.04747
N/A	0	1	0
N/A	0	1	0.688126
N/A	0	1	0.458833
N/A	0	1	0.516508
N/A	0	1	0.622889
N/A	0	1	0.990881
N/A	0	1	0.867524
N/A	0	1	1.02661
N/A	0	1	1.17674
N/A	0	1	1.02928
N/A	0	1	0
N/A	0	1	0.479183
N/A	0	1	1.03461
N/A	0	1	0.860733
N/A	0	1	0.977392
N/A	0	1	0.851063
N/A	0	1	0.812749
N/A	0	1	0
N/A	0	1	0.698293
N/A	0	1	1.03855
N/A	0	1	0
N/A	0	1	0.405751
N/A	0	1	0.981811
N/A	0	1	0.206118
N/A	0	1	0.738442
N/A	0	1	0.502457
N/A	0	1	0.774425
N/A	0	1	0.788667
N/A	0	1	0.873977
N/A	0	1	0.628916
N/A	0	1	0
N/A	0	1	0.887735
N/A	0	1	1.16438
N/A	0	1	0
N/A	0	1	0.452998
N/A	0	1	0.833295
N/A	0	1	0.89377
N/A	0	1	0.475667
N/A	0	1	1.02572
N/A	0	1	0
N/A	0	1	1.05868
N/A	0	1	0.597652
N/A	0	1	0.417933
N/A	0	1	0.969105
N/A	0	1	0.576566
N/A	0	1	0.957232
N/A	0	1	1.01322
N/A	0	1	1.03896
N/A	0	1	0
N/A	0	1	0.917465
N/A	0	1	0.818472
N/A	0	1	0.847854
N/A	0	1	0.977521
N/A	0	1	0.776624
N/A	0	1	0.384276
N/A	0	1	0.883351
N/A	0	1	0
N/A	0	1	0.445351
N/A	0	1	0.622242
N/A	0	1	0.657005
N/A	0	1	0
N/A	0	1	0.745694
N/A	0	1	0.870468
N/A	0	1	0
N/A	0	1	0.604112
N/A	0	1	0.106062
N/A	0	1	1.10671
N/A	0	1	0.550096
N/A	0	1	0.447632
N/A	0	1	0
N/A	0	1	0.504638
N/A	0	1	1.03946
N/A	0	1	0.741565
N/A	0	1	0.414787
N/A	0	1	0.654907
N/A	0	1	0.463051
N/A	0	1	0.713405
N/A	0	1	0
N/A	0	1	0.609494
N/A	0	1	0.850094
N/A	0	1	0
N/A	0	1	0.144062
N/A	0	1	0
N/A	0	1	0
N/A	0	1	0
N/A	0	1	0.919476
N/A	0	1	0.656417
N/A	0	1	0
N/A	0	1	0.983754
N/A	0	1	0.879746
N/A	0	1	1.0997
N/A	0	1	0.467906
N/A	0	1	0.371273
N/A	0	1	0.773452
N/A	0	1	0.843312
N/A	0	1	1.01174
N/A	0	1	0.967069
N/A	0	1	0.324164
N/A	0	1	0.854117
N/A	0	1	0.567319
N/A	0	1	0.554273
N/A	0	1	0
N/A	0	1	1.04714
N/A	0	1	0.979868
N/A	0	1	0.300508
N/A	0	1	0.4574
N/A	0	1	0.826386
N/A	0	1	0.923499
N/A	0	1	0.379565
N/A	0	1	0
N/A	0	1	1.16208
N/A	0	1	0
N/A	0	1	0
N/A	0	1	0.763454
N/A	0	1	0.998054
N/A	0	1	0.994115
N/A	0	1	0
N/A	0	1	0.62333
N/A	0	1	0.631583
N/A	0	1	0.657385
N/A	0	1	0.123897
N/A	0	1	0.932347
N/A	0	1	0
N/A	0	1	0.535591
N/A	0	1	0.88753
N/A	0	1	0.696706
N/A	0	1	0.935756
N/A	0	1	0.962037
N/A	0	1	0
N/A	0	1	0.784184
N/A	0	1	0.755859
N/A	0	1	1.04455
N/A	0	1	1.13441
N/A	0	1	0.394706
N/A	0	1	0.764336
N/A	0	1	0.990395
N/A	0	1	1.00094
N/A	0	1	1.16378
N/A	0	1	0.971871
N/A	0	1	0.943845
N/A	0	1	0.587354
N/A	0	1	1.06809
N/A	0	1	0.876769
N/A	0	1	0.768435
N/A	0	1	0.959041
N/A	0	1	1.14524
N/A	0	1	0.740904
N/A	0	1	0.685161
N/A	0	1	1.10541
N/A	0	1	0.581187
N/A	0	1	1.00273
N/A	0	1	1.00843
N/A	0	1	0.935067
N/A	0	1	0.980211
N/A	0	1	1.18116
N/A	0	1	1.01247
N/A	0	1	0.582218
N/A	0	1	0
N/A	0	1	0.879137
N/A	0	1	0.585445
N/A	0	1	0.35766
N/A	0	1	0.875477
N/A	0	1	0.67999
N/A	0	1	0.499075
N/A	0	1	0.98055
N/A	0	1	0.900573
N/A	0	1	0
N/A	0	1	0.781743
N/A	0	1	0.782137
N/A	0	1	1.04318
N/A	0	1	0.363236
N/A	0	1	1.03016
N/A	0	1	0.628097
N/A	0	1	0.281591
N/A	0	1	0
N/A	0	1	0.974408
N/A	0	1	0.726285
N/A	0	1	0
N/A	0	1	0.515171
N/A	0	1	1.04139
N/A	0	1	0.972477
N/A	0	1	0.326263
N/A	0	1	0
N/A	0	1	0.847792
N/A	0	1	0.312154
N/A	0	1	0.572312
N/A	0	1	0.177871
N/A	0	1	1.03952
N/A	0	1	0.871249
N/A	0	1	0.796118
N/A	0	1	0
N/A	0	1	0.61212
N/A	0	1	0.877059
N/A	0	1	0
N/A	0	1	0
N/A	0	1	0.59547
N/A	0	1	0.324363
N/A	0	1	0.522081
N/A	0	1	1.17963
N/A	0	1	0.961299
N/A	0	1	0.38976
N/A	0	1	0.435495
N/A	0	1	0
N/A	0	1	0.915127
N/A	0	1	1.1114
N/A	0	1	0.644893
N/A	0	1	0.872841
N/A	0	1	1.02665
N/A	0	1	0.929388
N/A	0	1	0.82584
N/A	0	1	1.20019
N/A	0	1	1.00021
N/A	0	1	0.550157
N/A	0	1	1.21195
N/A	0	1	0.165444
N/A	0	1	0.829963
N/A	0	1	0.538912
N/A	0	1	0.740592
N/A	0	1	0.503641
N/A	0	1	0
N/A	0	1	0
N/A	0	1	0.661272
N/A	0	1	1.01492
N/A	0	1	0.94359
N/A	0	1	0.299117
N/A	0	1	0.765834
N/A	0	1	0
N/A	0	1	0
N/A	0	1	0.253399
N/A	0	1	0.850155
N/A	0	1	0
N/A	0	1	0.68041
N/A	0	1	0.868271
N/A	0	1	0.971595
N/A	0	1	0
N/A	0	1	0.284395
N/A	0	1	0.299316
N/A	0	1	0.831911
N/A	0	1	1.04386
N/A	0	1	0.41677
N/A	0	1	0.978233
N/A	0	1	0.917614
N/A	0	1	0.965149
N/A	0	1	0
N/A	0	1	0.820703
N/A	0	1	0.677226
N/A	0	1	0.956758
N/A	0	1	0.997174
N/A	0	1	0
N/A	0	1	0.365015
N/A	0	1	0.983023
N/A	0	1	1.11543
N/A	0	1	0.710425
N/A	0	1	0.845881
N/A	0	1	0.485364
N/A	0	1	0.584196
N/A	0	1	0.753886
N/A	0	1	0.786905
N/A	0	1	0.938725
N/A	0	1	0.730214
N/A	0	1	0.924723
